#CSV created by Body Aspect
-2168,-7595,856
-2222,-7595,674
-2145,-7595,977
-2160,-7595,927
-2219,-7595,724
-2272,-7595,542
-2274,-7595,532
-2109,-7595,1138
-2128,-7595,1077
-2163,-7595,956
-2213,-7595,785
-2107,-7595,1189
-2216,-7595,815
-2141,-7595,1108
-2212,-7595,865
-2266,-7595,683
-2180,-7595,1016
-2269,-7595,713
-2293,-7595,631
-2323,-7595,531
-2179,-7595,1056
-2327,-7595,560
-2157,-7595,1167
-2324,-7595,611
-2296,-7595,741
-2323,-7595,651
-2192,-7595,1125
-2314,-7595,720
-2305,-7595,791
-2314,-7595,761
-2313,-7595,800
-2364,-7595,748
-2363,-7595,829
-2288,-7595,0
-2252,-7595,-69
-2258,-7595,-49
-2272,-7595,-9
-2288,-7595,40
-2224,-7595,-107
-2207,-7595,-115
-2216,-7595,-47
-2173,-7595,-134
-2175,-7595,-85
-2129,-7595,-182
-2128,-7595,-182
-2125,-7595,-153
-2072,-7595,-229
-2079,-7595,-210
-2029,-7595,-277
-2022,-7595,-257
-1974,-7595,-324
-1977,-7595,-314
-1919,-7595,-371
-1921,-7595,-362
-1879,-7595,-408
-1831,-7595,-436
-1824,-7595,-416
-1781,-7595,-514
-1790,-7595,-484
-1765,-7595,-523
-1782,-7595,-465
-1725,-7595,-571
-1733,-7595,-542
-1669,-7595,-628
-1672,-7595,-618
-1633,-7595,-666
-1617,-7595,-675
-1586,-7595,-693
-1532,-7595,-750
-1499,-7595,-779
-1478,-7595,-807
-1478,-7595,-759
-1446,-7595,-836
-1433,-7595,-836
-1438,-7595,-816
-1376,-7595,-863
-1336,-7595,-870
-1308,-7595,-889
-1283,-7595,-888
-1241,-7595,-905
-1190,-7595,-912
-1141,-7595,-910
-1083,-7595,-896
-1064,-7595,-867
-1040,-7595,-864
-1024,-7595,-823
-998,-7595,-772
-985,-7595,-771
-980,-7595,-792
-979,-7595,-732
-966,-7595,-671
2053,-7595,-218
2069,-7595,-136
2074,-7595,-116
2075,-7595,-165
2124,-7595,-122
2169,-7595,79
2146,-7595,-81
2158,-7595,-32
2182,-7595,81
2184,-7595,31
2202,-7595,112
2230,-7595,173
2241,-7595,223
2238,-7595,154
2286,-7595,296
2294,-7595,337
2284,-7595,237
2317,-7595,379
2336,-7595,399
2355,-7595,421
2372,-7595,491
2383,-7595,422
2454,-7545,1170
2484,-7545,952
2503,-7545,902
2374,-7545,1168
2417,-7545,1059
2480,-7545,901
2366,-7545,1127
2398,-7545,1048
2436,-7545,950
2320,-7545,1216
2367,-7545,1097
2328,-7545,1166
2343,-7545,1126
2432,-7545,900
2278,-7545,1263
2282,-7545,1254
2343,-7545,1096
2389,-7545,977
2393,-7545,968
2182,-7545,1480
2190,-7545,1461
2351,-7545,1046
2221,-7545,1351
2339,-7545,1046
2202,-7545,1371
2229,-7545,1302
2282,-7545,1164
2285,-7545,1154
2131,-7545,1528
2142,-7545,1499
2176,-7545,1410
2195,-7545,1361
2236,-7545,1252
2331,-7545,1005
2147,-7545,1459
2293,-7545,1074
2338,-7545,955
2346,-7545,936
2361,-7545,896
2375,-7545,857
2394,-7545,807
2195,-7545,1301
2232,-7545,1202
2382,-7545,808
2091,-7545,1547
2143,-7545,1409
2240,-7545,1152
2281,-7545,1043
2098,-7545,1498
2188,-7545,1260
2284,-7545,1003
2339,-7545,855
2143,-7545,1349
2099,-7545,1437
2147,-7545,1309
2183,-7545,1210
2224,-7545,1101
2312,-7545,865
2337,-7545,795
2048,-7545,1545
2194,-7545,1150
2235,-7545,1042
2092,-7545,1397
2142,-7545,1259
2044,-7545,1496
2084,-7545,1357
2142,-7545,1199
2037,-7545,1455
2091,-7545,1307
2145,-7545,1159
2048,-7545,1395
1994,-7545,1513
2086,-7545,1257
2043,-7545,1345
2092,-7545,1207
1990,-7545,1463
1997,-7545,1413
2035,-7545,1305
2041,-7545,1255
1992,-7545,1363
1990,-7545,1302
1942,-7545,1411
1996,-7545,1253
1940,-7545,1351
1945,-7545,1301
1940,-7545,1250
1888,-7545,1369
1895,-7545,1349
1889,-7545,1299
1883,-7545,1249
1903,-7545,1189
1891,-7545,1189
1881,-7545,1148
1841,-7545,1237
1837,-7545,1217
1841,-7545,1167
1834,-7545,1116
1792,-7545,1176
1795,-7545,1166
1787,-7545,1115
1779,-7545,1065
1765,-7545,994
1774,-7545,964
1738,-7545,1044
1739,-7545,1003
1741,-7545,954
1729,-7545,913
1710,-7545,852
1709,-7545,811
1689,-7545,842
1685,-7545,811
1673,-7545,770
1652,-7545,709
1663,-7545,670
1654,-7545,609
1632,-7545,599
1627,-7545,569
1602,-7545,518
1589,-7545,467
1576,-7545,467
1577,-7545,417
1551,-7545,366
1519,-7545,335
1524,-7545,314
1523,-7545,204
1491,-7545,173
1477,-7545,173
1475,-7545,122
1480,-7545,102
1490,-7545,-317
1433,-7545,-382
1439,-7545,-431
1466,-7545,-510
1465,-7545,-522
1486,-7545,-549
1491,-7545,-599
1511,-7545,-628
1515,-7545,-609
1523,-7545,-628
1567,-7545,-664
1574,-7545,-695
1622,-7545,-702
1666,-7545,-730
1668,-7545,-720
1717,-7545,-717
1771,-7545,-684
1775,-7545,-664
1814,-7545,-652
1830,-7545,-631
1855,-7545,-570
1867,-7545,-569
1888,-7545,-529
1916,-7545,-506
1938,-7545,-465
1961,-7545,-414
1968,-7545,-443
1973,-7545,-413
1980,-7545,-383
2004,-7545,-332
2030,-7545,-270
2024,-7545,-349
2029,-7545,-329
2024,-7545,-410
2037,-7545,-471
2045,-7545,-489
2071,-7545,-489
2088,-7545,-468
-861,-7545,-426
-862,-7545,-446
-890,-7545,-447
-917,-7545,-428
-942,-7545,-409
-964,-7545,-339
-976,-7545,-320
-987,-7545,-301
-995,-7545,-241
-1006,-7545,-211
-1016,-7545,-171
-1029,-7545,-172
-1037,-7545,-122
-1057,-7545,-53
-1081,-7545,-24
-1101,-7545,25
-1136,-7545,64
-1148,-7545,74
-1180,-7545,123
-1213,-7545,171
-1223,-7545,191
-1255,-7545,240
-1279,-7545,249
-1287,-7545,279
-1292,-7545,329
-1327,-7545,347
-1361,-7545,376
-1371,-7545,386
-1414,-7545,434
-1424,-7545,444
-1451,-7545,502
-1471,-7545,532
-1472,-7545,522
-1521,-7545,591
-1524,-7545,570
-1558,-7545,648
-1570,-7545,648
-1572,-7545,699
-1591,-7545,728
-1615,-7545,726
-1624,-7545,736
-1664,-7545,775
-1674,-7545,784
-1686,-7545,835
-1714,-7545,813
-1722,-7545,833
-1734,-7545,882
-1763,-7545,851
-1767,-7545,891
-1780,-7545,830
-1813,-7545,890
-1815,-7545,879
-1824,-7545,939
-1862,-7545,878
-1864,-7545,918
-1871,-7545,937
-1934,-7545,774
-1910,-7545,915
-1920,-7545,875
-1904,-7545,986
-1909,-7545,965
-1945,-7545,824
-1911,-7545,1006
-1962,-7545,803
-1970,-7545,773
-1964,-7545,843
-2067,-7545,489
-2074,-7545,459
-1960,-7545,943
-1965,-7545,923
-2068,-7545,529
-2017,-7545,771
-2049,-7545,650
-2067,-7545,579
-1952,-7545,1064
-1968,-7545,1003
-2013,-7545,831
-2042,-7545,721
-2066,-7545,629
-1963,-7545,1063
-2014,-7545,871
-2064,-7545,679
-2119,-7545,477
-2012,-7545,921
-2069,-7545,709
-2010,-7545,972
